Ali,S,Williams,55,15,4,2
Patryck,S,Johnson,25,2,2,13
Dinesh,A,Smith,31,13,4,2
Patryck,O,Johnson,34,17,6,10
Ali,A,Johnson,32,15,9,5
Dinesh,S,Williams,42,3,19,11
Ali,O,Smith,46,9,5,9
Dinesh,D,Williams,58,19,9,4
David,S,Davis,44,13,14,15
Dinesh,S,Johnson,26,19,4,5
Dinesh,S,Johnson,22,18,4,15
David,A,Davis,27,16,1,5
Ali,D,Smith,46,18,19,7
David,A,Davis,22,2,8,2
Patryck,A,Smith,21,13,13,9
Dinesh,D,Williams,58,8,3,18
Patryck,S,Smith,40,15,8,2
Patryck,A,Williams,60,17,10,0
David,O,Williams,59,9,17,17
Ali,S,Johnson,51,12,13,3
Patryck,S,Davis,37,9,6,8
David,A,Smith,55,2,10,3
Patryck,O,Johnson,23,17,3,3
David,S,Davis,38,0,12,15
David,A,Johnson,31,17,5,13
Dinesh,D,Johnson,57,3,11,3
Dinesh,D,Johnson,40,5,7,8
Ali,D,Davis,62,9,4,18
Patryck,D,Davis,57,2,8,16
Ali,O,Smith,27,6,1,18
Ali,S,Williams,30,0,18,8
Dinesh,S,Smith,44,17,14,2
Ali,S,Williams,61,17,16,7
David,O,Johnson,51,16,4,11
Patryck,A,Davis,62,19,13,9
David,S,Williams,61,13,13,13
Patryck,S,Davis,35,3,16,3
David,O,Johnson,58,17,18,11
Dinesh,A,Williams,61,14,12,14
Ali,O,Johnson,42,14,6,9
Dinesh,O,Davis,42,11,19,11
Dinesh,D,Smith,52,1,14,9
Patryck,D,Davis,29,2,11,9
Ali,A,Johnson,47,3,9,12
David,O,Davis,18,19,10,17
Dinesh,D,Williams,40,16,8,10
Ali,D,Smith,61,9,11,17
David,A,Smith,39,11,14,13
Patryck,S,Davis,33,7,11,17
Ali,D,Johnson,26,13,2,8
David,O,Johnson,60,1,9,11
Dinesh,O,Williams,23,15,14,11
Ali,A,Williams,40,1,12,0
David,A,Johnson,52,19,4,17
David,A,Davis,59,1,3,8
Dinesh,O,Johnson,36,19,6,15
Ali,O,Davis,57,15,6,5
David,S,Johnson,56,3,5,4
David,S,Smith,62,3,9,1
Dinesh,O,Johnson,60,15,15,6
David,S,Davis,29,17,9,5
Patryck,O,Williams,27,6,10,15
Patryck,O,Johnson,22,10,7,19
Dinesh,D,Johnson,19,17,13,10
Ali,O,Davis,20,2,0,15
Dinesh,A,Davis,46,18,11,12
David,S,Williams,26,1,9,2
Dinesh,O,Johnson,54,13,12,10
Patryck,O,Davis,64,10,10,12
David,A,Williams,33,1,8,5
Dinesh,S,Johnson,58,17,15,9
David,S,Smith,51,4,14,5
Dinesh,D,Smith,31,19,2,0
David,O,Davis,44,14,1,1
Dinesh,O,Williams,34,8,3,5
Dinesh,O,Williams,27,6,5,15
Patryck,A,Davis,37,19,18,14
Ali,S,Smith,47,19,6,1
Patryck,S,Smith,62,7,4,19
David,A,Williams,31,9,0,18
Dinesh,S,Williams,29,14,8,8
Ali,D,Davis,58,16,17,14
Dinesh,O,Johnson,57,2,2,17
Ali,S,Johnson,18,10,4,11
Dinesh,A,Johnson,57,9,9,7
Patryck,D,Johnson,50,9,0,5
Dinesh,D,Smith,31,18,4,0
Ali,D,Davis,40,1,14,3
Ali,A,Smith,57,16,14,11
Patryck,S,Smith,38,14,0,15
Patryck,O,Davis,64,18,6,18
Patryck,D,Williams,53,18,4,9
Ali,S,Davis,29,4,7,1
David,O,Smith,58,2,0,7
Dinesh,S,Johnson,28,19,12,13
Patryck,S,Davis,22,7,7,15
David,S,Smith,34,7,0,12
Ali,S,Williams,25,18,6,9
Dinesh,O,Johnson,58,10,7,12
Dinesh,D,Johnson,22,14,17,0
Ali,A,Williams,48,8,10,19
David,A,Davis,62,17,18,14
